tid,season,rooftype,game_played,plays,fumbles_lost,season_year,plays_per_fumble,bin
ARI,2002,INDOOR,1,59,2,1/1/02,29.5,20
ARI,2002,OUTDOOR,15,944,24,1/1/02,39.33333333,30
ARI,2003,INDOOR,2,104,6,1/1/03,17.33333333,10
ARI,2003,OUTDOOR,14,877,23,1/1/03,38.13043478,30
ARI,2004,INDOOR,3,185,4,1/1/04,46.25,40
ARI,2004,OUTDOOR,13,862,30,1/1/04,28.73333333,20
ARI,2005,INDOOR,3,203,6,1/1/05,33.83333333,30
ARI,2005,OUTDOOR,12,815,17,1/1/05,47.94117647,40
ARI,2005,RETRACTABLE,1,57,3,1/1/05,19,10
ARI,2006,INDOOR,3,177,8,1/1/06,22.125,20
ARI,2006,OUTDOOR,5,306,11,1/1/06,27.81818182,20
ARI,2006,RETRACTABLE,8,516,12,1/1/06,43,40
ARI,2007,INDOOR,2,127,5,1/1/07,25.4,20
ARI,2007,OUTDOOR,6,359,6,1/1/07,59.83333333,50
ARI,2007,RETRACTABLE,8,530,16,1/1/07,33.125,30
ARI,2008,INDOOR,1,68,1,1/1/08,68,60
ARI,2008,OUTDOOR,7,441,17,1/1/08,25.94117647,20
ARI,2008,RETRACTABLE,8,489,9,1/1/08,54.33333333,50
ARI,2009,INDOOR,2,130,4,1/1/09,32.5,30
ARI,2009,OUTDOOR,6,359,17,1/1/09,21.11764706,20
ARI,2009,RETRACTABLE,8,496,11,1/1/09,45.09090909,40
ARI,2010,INDOOR,3,166,9,1/1/10,18.44444444,10
ARI,2010,OUTDOOR,5,308,9,1/1/10,34.22222222,30
ARI,2010,RETRACTABLE,8,457,15,1/1/10,30.46666667,30
ARI,2011,INDOOR,2,140,4,1/1/11,35,30
ARI,2011,OUTDOOR,6,363,10,1/1/11,36.3,30
ARI,2011,RETRACTABLE,8,490,9,1/1/11,54.44444444,50
ARI,2012,INDOOR,3,201,4,1/1/12,50.25,50
ARI,2012,OUTDOOR,5,292,11,1/1/12,26.54545455,20
ARI,2012,RETRACTABLE,8,525,10,1/1/12,52.5,50
ARI,2013,INDOOR,2,125,5,1/1/13,25,20
ARI,2013,OUTDOOR,6,397,9,1/1/13,44.11111111,40
ARI,2013,RETRACTABLE,8,515,8,1/1/13,64.375,60
ARI,2014,INDOOR,2,114,2,1/1/14,57,50
ARI,2014,OUTDOOR,5,302,4,1/1/14,75.5,70
ARI,2014,RETRACTABLE,9,577,10,1/1/14,57.7,50
ATL,2002,INDOOR,10,660,13,1/1/02,50.76923077,50
ATL,2002,OUTDOOR,6,378,11,1/1/02,34.36363636,30
ATL,2003,INDOOR,11,637,16,1/1/03,39.8125,30
ATL,2003,OUTDOOR,4,229,5,1/1/03,45.8,40
ATL,2003,RETRACTABLE,1,64,1,1/1/03,64,60
ATL,2004,INDOOR,9,556,16,1/1/04,34.75,30
ATL,2004,OUTDOOR,7,413,10,1/1/04,41.3,40
ATL,2005,INDOOR,10,638,19,1/1/05,33.57894737,30
ATL,2005,OUTDOOR,6,383,7,1/1/05,54.71428571,50
ATL,2006,INDOOR,10,621,13,1/1/06,47.76923077,40
ATL,2006,OUTDOOR,6,379,5,1/1/06,75.8,70
ATL,2007,INDOOR,11,712,13,1/1/07,54.76923077,50
ATL,2007,OUTDOOR,4,208,5,1/1/07,41.6,40
ATL,2007,RETRACTABLE,1,67,0,1/1/07,#DIV/0!,#DIV/0!
ATL,2008,INDOOR,10,600,9,1/1/08,66.66666667,60
ATL,2008,OUTDOOR,6,411,9,1/1/08,45.66666667,40
ATL,2009,INDOOR,9,583,8,1/1/09,72.875,70
ATL,2009,OUTDOOR,6,400,8,1/1/09,50,50
ATL,2009,RETRACTABLE,1,65,3,1/1/09,21.66666667,20
ATL,2010,INDOOR,10,692,8,1/1/10,86.5,80
ATL,2010,OUTDOOR,6,405,4,1/1/10,101.25,100
