tid	season	rooftype	game_played	plays	fumbles_lost
ARI	2002	INDOOR	1	59	2
ARI	2002	OUTDOOR	15	944	24
ARI	2003	INDOOR	2	104	6
ARI	2003	OUTDOOR	14	877	23
ARI	2004	INDOOR	3	185	4
ARI	2004	OUTDOOR	13	862	30
ARI	2005	INDOOR	3	203	6
ARI	2005	OUTDOOR	12	815	17
ARI	2005	RETRACTABLE	1	57	3
ARI	2006	INDOOR	3	177	8
ARI	2006	OUTDOOR	5	306	11
ARI	2006	RETRACTABLE	8	516	12
ARI	2007	INDOOR	2	127	5
ARI	2007	OUTDOOR	6	359	6
ARI	2007	RETRACTABLE	8	530	16
ARI	2008	INDOOR	1	68	1
ARI	2008	OUTDOOR	7	441	17
ARI	2008	RETRACTABLE	8	489	9
ARI	2009	INDOOR	2	130	4
ARI	2009	OUTDOOR	6	359	17
ARI	2009	RETRACTABLE	8	496	11
ARI	2010	INDOOR	3	166	9
ARI	2010	OUTDOOR	5	308	9
ARI	2010	RETRACTABLE	8	457	15
ARI	2011	INDOOR	2	140	4
ARI	2011	OUTDOOR	6	363	10
ARI	2011	RETRACTABLE	8	490	9
ARI	2012	INDOOR	3	201	4
ARI	2012	OUTDOOR	5	292	11
ARI	2012	RETRACTABLE	8	525	10
ARI	2013	INDOOR	2	125	5
ARI	2013	OUTDOOR	6	397	9
ARI	2013	RETRACTABLE	8	515	8
ARI	2014	INDOOR	2	114	2
ARI	2014	OUTDOOR	5	302	4
ARI	2014	RETRACTABLE	9	577	10
ATL	2002	INDOOR	10	660	13
ATL	2002	OUTDOOR	6	378	11
ATL	2003	INDOOR	11	637	16
ATL	2003	OUTDOOR	4	229	5
ATL	2003	RETRACTABLE	1	64	1
ATL	2004	INDOOR	9	556	16
ATL	2004	OUTDOOR	7	413	10
ATL	2005	INDOOR	10	638	19
ATL	2005	OUTDOOR	6	383	7
ATL	2006	INDOOR	10	621	13
ATL	2006	OUTDOOR	6	379	5
ATL	2007	INDOOR	11	712	13
ATL	2007	OUTDOOR	4	208	5
ATL	2007	RETRACTABLE	1	67	0
ATL	2008	INDOOR	10	600	9
ATL	2008	OUTDOOR	6	411	9
ATL	2009	INDOOR	9	583	8
ATL	2009	OUTDOOR	6	400	8
ATL	2009	RETRACTABLE	1	65	3
ATL	2010	INDOOR	10	692	8
ATL	2010	OUTDOOR	6	405	4
ATL	2011	INDOOR	9	594	7
ATL	2011	OUTDOOR	5	344	5
ATL	2011	RETRACTABLE	2	135	0
ATL	2012	INDOOR	9	575	5
ATL	2012	OUTDOOR	6	391	4
ATL	2012	RETRACTABLE	1	55	0
ATL	2013	INDOOR	9	552	12
ATL	2013	OUTDOOR	5	310	4
ATL	2013	RETRACTABLE	2	162	1
