team,ball,P_halftime_nonlogo_psig,P_halftime_logo_psig,time,average
Patriots,P10,10.5,10.9,1,11.48636364
Patriots,P4,10.7,11,2,11.48636364
Patriots,P2,10.85,11.2,3,11.48636364
Patriots,P11,10.9,11.35,4,11.48636364
Patriots,P9,10.95,11.35,5,11.48636364
Patriots,P5,11.1,11.45,6,11.48636364
Patriots,P3,11.15,11.5,7,11.48636364
Patriots,P8,11.1,11.55,8,11.48636364
Patriots,P1,11.5,11.8,9,11.48636364
Patriots,P6,11.6,11.95,10,11.48636364
Patriots,P7,11.85,12.3,11,11.48636364
Colts,C3,12.15,12.5,13,12.625
Colts,C4,12.15,12.55,14,12.625
Colts,C1,12.35,12.7,15,12.625
Colts,C2,12.3,12.75,16,12.625
